Split,Class,Min,Max,Mean,Median,Std
Train,box,1,239451,14814,10940,14698
Train,bag,10,107912,13433,10210,11118
Train,barcode,12,108274,18174,12170,16756
Valid,box,1,189401,14790,11058,14546
Valid,bag,8,108896,13261,10080,11312
Valid,barcode,159,100250,18176,11497,17219
Test,box,191,196482,14625,10732,15055
Test,bag,112,76406,13315,10251,10841
Test,barcode,147,125293,16561,8798,18277
