Split,Class,Min,Max,Mean,Median,Std
Train,box,1,239451,14824,10866,15088
Train,bag,8,108896,13384,10190,11143
Train,barcode,12,123429,18286,11807,17662
Valid,box,1,202263,14871,11168,14226
Valid,bag,75,70140,12845,10148,10338
Valid,barcode,763,125293,18139,12960,16422
Test,box,3,175792,15414,11333,14962
Test,bag,894,68448,15889,12960,13203
Test,barcode,1344,91102,18996,11767,16198
